;;;;;;;;;;;;;;;;
CODIGO;DISTRITO;DEPARTAMENTO;MUNICIPIO;ESTABLECIMIENTO;DIRECCION;TELEFONO;SUPERVISOR;DIRECTOR;NIVEL;SECTOR;AREA;STATUS;MODALIDAD;JORNADA;PLAN;DEPARTAMENTAL
20-01-0027-45;20-024;CHIQUIMULA;CHIQUIMULA;"COLEGIO EVANGELICO MIXTO ""AMIGOS""";10MA. AVENIDA 5-38 ZONA 1;79420116;SILVIA MARILENA BUEZO MARTINEZ;ROXANA LISBETH URRUTIA PINTO;BASICO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);CHIQUIMULA
20-01-0029-46;20-001;CHIQUIMULA;CHIQUIMULA;INSTITUTO DIVERSIFICADO ADS. AL INEB 'DR. DAVID GUERRA GUZMAN';2A CALLE ENTRE 11 Y 12 AVENIDAS ZONA 1;79420395;CESAR ADALBERTO NOGUERA JACOME;ROMEO RIVERA CHACӎ;DIVERSIFICADO;OFICIAL;URBANA;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);CHIQUIMULA
20-01-0030-46;20-001;CHIQUIMULA;CHIQUIMULA;ESCUELA NACIONAL DE MAESTROS DE EDUCACION MUSICAL PEM OSCAR AUGUSTO MATEO MORALES;2A CALLE Y 12 AVENIDA ZONA 1;41942927;CESAR ADALBERTO NOGUERA JACOME;JOSɠVICENTE REYES SOL͓;DIVERSIFICADO;OFICIAL;URBANA;ABIERTA;MONOLINGUE;NOCTURNA;DIARIO(REGULAR);CHIQUIMULA
20-01-0031-46;20-024;CHIQUIMULA;CHIQUIMULA;ESCUELA SECUNDARIA PRIVADA MIXTA DE ORIENTE -ESDEO-;2A CALLE 4-40 ZONA 1;79420290;SILVIA MARILENA BUEZO MARTINEZ;ERWIN LEONEL COLINDRES MONROY;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);CHIQUIMULA
20-01-0032-46;20-024;CHIQUIMULA;CHIQUIMULA;"COLEGIO EVANGɌICO MIXTO ""AMIGOS""";10MA AVENIDA 5-38 ZONA 1;79420116;SILVIA MARILENA BUEZO MARTINEZ;ROXANA LISBETH URRUTIA PINTO;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);CHIQUIMULA
20-01-0033-46;20-027;CHIQUIMULA;CHIQUIMULA;INSTITUTO TECNOLOGICO PRIVADO DE ORIENTE;4TA. AVENIDA 4-20 ZONA 1;79425959;SILVIA MARILENA BUEZO MARTINEZ;SALOMON ELIASIB ALVAREZ CORDӎ;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;DOBLE;DIARIO(REGULAR);CHIQUIMULA
20-01-0034-45;20-001;CHIQUIMULA;CHIQUIMULA;INEB ADSC. AL INSTITUTO NORMAL P/SEяRITAS DE ORIENTE;4A CALLE 6-00 ZONA 1;79420228;CESAR ADALBERTO NOGUERA JACOME;MIRNA ELIZABETH QUIROA LӐEZ;BASICO;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIQUIMULA
20-01-0034-46;20-001;CHIQUIMULA;CHIQUIMULA;INSTITUTO NORMAL PARA SEяRITAS DE ORIENTE;4A. CALLE 6-00 ZONA 1;59799216;CESAR ADALBERTO NOGUERA JACOME;MIRNA ELIZABETH QUIROA LӐEZ;DIVERSIFICADO;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIQUIMULA
20-01-0035-42;20-010;CHIQUIMULA;CHIQUIMULA;EODP ANEXA A EORM;ALDEA LAS TABLAS;30786473;MERY ELISABET CALDERON CASTILLO;MAŔ ELENA LӐEZ AGUST͎;PARVULOS;OFICIAL;RURAL;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIQUIMULA
20-01-0036-45;20-001;CHIQUIMULA;CHIQUIMULA;INEB ADSC. AL INSTITUTO NORMAL PARA VARONES DE ORIENTE;6A AVE. 4-10 ZONA 1;79420425;CESAR ADALBERTO NOGUERA JACOME;BALVINO CHACӎ PɒEZ;BASICO;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIQUIMULA
20-01-0036-46;20-001;CHIQUIMULA;CHIQUIMULA;INSTITUTO NORMAL PARA VARONES DE ORIENTE;6A AVE. 4-10 ZONA 1;79420425;CESAR ADALBERTO NOGUERA JACOME;BALVINO CHACӎ PɒEZ;DIVERSIFICADO;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIQUIMULA
20-01-0037-42;20-020;CHIQUIMULA;CHIQUIMULA;EODP ANEXA A EORM;CASERIO LAS MESAS ALDEA GUIOR;54853383;CESAR HELAMAN GARCIA LOPEZ;MILVIA KARINA AGUST͎ CETINO;PARVULOS;OFICIAL;RURAL;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIQUIMULA
20-01-0038-45;20-027;CHIQUIMULA;CHIQUIMULA;"""LICEO LA SALLE""";6A CALLE 3-61 ZONA 1;79420328;SILVIA MARILENA BUEZO MARTINEZ;JUAN MODESTO SICAY TӃ;BASICO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIQUIMULA
20-01-0038-46;20-027;CHIQUIMULA;CHIQUIMULA;"""LICEO LA SALLE""";6A CALLE 3-61 ZONA 1;79420328;SILVIA MARILENA BUEZO MARTINEZ;JUAN MODESTO SICAY TӃ;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIQUIMULA
20-01-0039-42;20-023;CHIQUIMULA;CHIQUIMULA;EODP ANEXA A EORM;CASERIO LAS CRUCES ALDEA EL MATAZANO;32804367;MANFREDO RIVERA CHACON;GLADIS ODETH OSORIO LEMUS;PARVULOS;OFICIAL;RURAL;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIQUIMULA
20-01-0040-45;20-024;CHIQUIMULA;CHIQUIMULA;COLEGIO PRIVADO MIXTO 'SAGRADA FAMILIA';6A AVE. 5-68 ZONA 1;79420232;SILVIA MARILENA BUEZO MARTINEZ;DANIA ISABEL QUIRӓ SALINAS;BASICO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIQUIMULA
20-01-0040-46;20-024;CHIQUIMULA;CHIQUIMULA;COLEGIO PRIVADO MIXTO 'SAGRADA FAMILIA';6A AVE. 5-68 ZONA 1;79420232;SILVIA MARILENA BUEZO MARTINEZ;DANIA ISABEL QUIRӓ SALINAS;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIQUIMULA
20-01-0041-45;99-001;CHIQUIMULA;CHIQUIMULA;INSTITUTO MODERNO CHIQUIMULTECO;CALLE HUGO LEONEL BACARO 9-30 ZONA 1;;SILVIA EUGENIA VALDEZ MONTERROSO DE CARBALLO;;BASICO;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);CHIQUIMULA
20-01-0041-46;99-001;CHIQUIMULA;CHIQUIMULA;INSTITUTO MODERNO CHIQUIMULTECO;CALLE HUGO LEONEL BACARO 9-30 ZONA 1;;SILVIA EUGENIA VALDEZ MONTERROSO DE CARBALLO;;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);CHIQUIMULA
20-01-0042-42;20-010;CHIQUIMULA;CHIQUIMULA;EODP ANEXA A EORM RAUL MEJIA GONZALEZ;ALDEA SABANA GRANDE;51509978;MERY ELISABET CALDERON CASTILLO;MAŔ ALICIA OROXOM MAZARIEGOS;PARVULOS;OFICIAL;RURAL;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIQUIMULA
20-01-0043-42;20-028;CHIQUIMULA;CHIQUIMULA;EODP ANEXA A EORM 'MARIO MORALES MONROY';ALDEA SHUSHO ABAJO;54477578;LUIS GUSTAVO SAGASTUME CONTRERAS;LESDY MARISOL VIDAL ALDANA;PARVULOS;OFICIAL;RURAL;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIQUIMULA
20-01-0044-42;20-010;CHIQUIMULA;CHIQUIMULA;EODP ANEXA A EORM;ALDEA SANTA ELENA;41014270;MERY ELISABET CALDERON CASTILLO;MILDRED JOHANA ORELLANA GALLARDO;PARVULOS;OFICIAL;RURAL;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIQUIMULA
20-01-0045-42;20-010;CHIQUIMULA;CHIQUIMULA;EODP ANEXA A EORM ERNESTO R. LARA;ALDEA SAN ESTEBAN;42168592;MERY ELISABET CALDERON CASTILLO;HEIDY CRISTINA D́Z RAM͒EZ;PARVULOS;OFICIAL;RURAL;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIQUIMULA
20-01-0046-42;20-020;CHIQUIMULA;CHIQUIMULA;EODP ANEXA A EORM HECTOR MANUEL VASQUEZ;ALDEA MARAXCO;47435481;CESAR HELAMAN GARCIA LOPEZ;ANA MAŔ HERNNDEZ HERNNDEZ;PARVULOS;OFICIAL;RURAL;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIQUIMULA
20-01-0047-42;20-023;CHIQUIMULA;CHIQUIMULA;EODP ANEXA A EORM PROFESORA MARIA OCTAVILA GUTIERREZ DE ESPAс;ALDEA SHORORAGUA;58335283;MANFREDO RIVERA CHACON;YARITZA BEATR͚ TORRES ZECEс;PARVULOS;OFICIAL;RURAL;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIQUIMULA
20-01-0048-42;20-023;CHIQUIMULA;CHIQUIMULA;EODP ANEXA A EORM;ALDEA LAGUNA EL JUTE;30956763;MANFREDO RIVERA CHACON;BLANCA AZUCENA CER͎ PICɎ;PARVULOS;OFICIAL;RURAL;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIQUIMULA
20-01-0049-43;20-020;CHIQUIMULA;CHIQUIMULA;EORM;ALDEA EL GUAYABO;55719020;CESAR HELAMAN GARCIA LOPEZ;YOSMARA LISBETH RODR͇UEZ DUARTE;PRIMARIA;OFICIAL;RURAL;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIQUIMULA
20-01-0050-43;20-020;CHIQUIMULA;CHIQUIMULA;EORM;ALDEA HACIENDA EL SANTO;59450558;CESAR HELAMAN GARCIA LOPEZ;ZULY VICTORIA RAMOS SOSA;PRIMARIA;OFICIAL;RURAL;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIQUIMULA
20-01-0051-43;20-023;CHIQUIMULA;CHIQUIMULA;EORM;ALDEA LA CATOCHA;32436040;MANFREDO RIVERA CHACON;IRVIN KELER NOVA POSADAS;PRIMARIA;OFICIAL;RURAL;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIQUIMULA
20-01-0052-43;20-028;CHIQUIMULA;CHIQUIMULA;EORM;ALDEA EL INGENIERO;41607629;LUIS GUSTAVO SAGASTUME CONTRERAS;VILMA GISELA ESPANA ALARCON;PRIMARIA;OFICIAL;RURAL;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIQUIMULA
20-01-0053-43;;CHIQUIMULA;CHIQUIMULA;EORM;ALDEA LOS PINOS;;;;PRIMARIA;OFICIAL;RURAL;CERRADA TEMPORALMENTE;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIQUIMULA
20-01-0054-43;20-010;CHIQUIMULA;CHIQUIMULA;EORM;ALDEA SANTA ELENA;51297060;MERY ELISABET CALDERON CASTILLO;ALEX JOEL CORONADO LOPEZ;PRIMARIA;OFICIAL;RURAL;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIQUIMULA
20-01-0055-43;20-020;CHIQUIMULA;CHIQUIMULA;EORM LUCAS ANTONIO CUEVAS;ALDEA SHUSHO ARRIBA;30355935;CESAR HELAMAN GARCIA LOPEZ;MERCEDES DEL CARMEN MORALES Y MORALES;PRIMARIA;OFICIAL;RURAL;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIQUIMULA
20-01-0056-43;20-023;CHIQUIMULA;CHIQUIMULA;EORM PROFESORA MARIA OCTAVILA GUTIERREZ DE ESPAс;ALDEA SHORORAGUA;50373500;MANFREDO RIVERA CHACON;WILLIAM ALEXANDER SANCɠESQUIVEL;PRIMARIA;OFICIAL;RURAL;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIQUIMULA
20-01-0057-42;20-010;CHIQUIMULA;CHIQUIMULA;EODP;ALDEA VADO HONDO;55921729;MERY ELISABET CALDERON CASTILLO;IRIS FLORIDALMA INTERIANO DUARTE;PARVULOS;OFICIAL;RURAL;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIQUIMULA
20-01-0057-43;20-010;CHIQUIMULA;CHIQUIMULA;EORM PROFESOR DE ENSEсNZA MEDIA ERNESTO DE JESUS SAGASTUME GUERRA;ALDEA VADO HONDO;30908101;MERY ELISABET CALDERON CASTILLO;MAŔ ISABEL CALDERӎ MEDRANO;PRIMARIA;OFICIAL;RURAL;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIQUIMULA
20-01-0058-43;20-028;CHIQUIMULA;CHIQUIMULA;EORM;ALDEA EL MORRAL;45853094;LUIS GUSTAVO SAGASTUME CONTRERAS;AMY ROSA ALICIA MORALES ESPAс;PRIMARIA;OFICIAL;RURAL;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIQUIMULA
20-01-0059-43;20-028;CHIQUIMULA;CHIQUIMULA;EORM MARIA CHINCHILLA;ALDEA PETAPILLA;42869549;LUIS GUSTAVO SAGASTUME CONTRERAS;IRMA LIL͠OSORIO PAIZ;PRIMARIA;OFICIAL;RURAL;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIQUIMULA
20-01-0060-43;20-020;CHIQUIMULA;CHIQUIMULA;EORM HECTOR MANUEL VASQUEZ;ALDEA MARAXCO;51221404;CESAR HELAMAN GARCIA LOPEZ;MARINA ESPERANZA PAREDES CETINO;PRIMARIA;OFICIAL;RURAL;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIQUIMULA
20-01-0061-43;;CHIQUIMULA;CHIQUIMULA;EORM;ALDEA SAN JORGE;;;;PRIMARIA;OFICIAL;RURAL;CERRADA TEMPORALMENTE;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIQUIMULA
20-01-0062-43;20-020;CHIQUIMULA;CHIQUIMULA;EORM;ALDEA SILLON ARRIBA;42455263;CESAR HELAMAN GARCIA LOPEZ;SAYMA ODBELY GALLARDO FLORES;PRIMARIA;OFICIAL;RURAL;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIQUIMULA
20-01-0063-43;20-020;CHIQUIMULA;CHIQUIMULA;EORM;ALDEA YOR;55568250;CESAR HELAMAN GARCIA LOPEZ;OSCAR CARLOS ALBERTO AGUIRRE;PRIMARIA;OFICIAL;RURAL;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIQUIMULA
20-01-0064-43;20-028;CHIQUIMULA;CHIQUIMULA;EORM;ALDEA SANTA BARBARA;58684623;LUIS GUSTAVO SAGASTUME CONTRERAS;CESAR EVILIO FUENTES SINTUJ;PRIMARIA;OFICIAL;RURAL;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIQUIMULA
20-01-0065-43;20-020;CHIQUIMULA;CHIQUIMULA;EORM ROBERTO ANTONIO VILLEDA SANTIS;ALDEA EL JICARAL;59404261;CESAR HELAMAN GARCIA LOPEZ;CARLOS AROLDO HERNNDEZ ALVARENGA;PRIMARIA;OFICIAL;RURAL;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIQUIMULA
20-01-0066-43;20-023;CHIQUIMULA;CHIQUIMULA;EORM;ALDEA TACO ARRIBA;41000689;MANFREDO RIVERA CHACON;ALLAN ABRAHAM GӍEZ MORALES;PRIMARIA;OFICIAL;RURAL;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIQUIMULA
